,Text,User,Date,Favs,Retweets,Replies
59,"महान स्वतंत्रता सेनानी, शिक्षाविद् और समाज सुधारक महामना पंडित मदन मोहन मालवीय जी को उनकी जयंती पर कोटि-कोटि नमन।",narendramodi,2021-12-25 02:03:40+00:00,44612,6676,896
60,"आदरणीय अटल जी को उनकी जयंती पर कोटि-कोटि नमन।

Remembering Atal Ji on his Jayanti. We are inspired by his rich service to the nation. He devoted his life towards making India strong and developed. 

His development initiatives positively impacted millions of Indians.",narendramodi,2021-12-25 02:02:14+00:00,29562,6188,955
61,"Christmas greetings to everyone! We recall the life and noble teachings of Jesus Christ, which placed topmost emphasis on service, kindness and humility. May everyone be healthy and prosperous. May there be harmony all around.",narendramodi,2021-12-25 02:01:23+00:00,29177,4258,1490
62,"Earlier today, chaired the first meeting of the High Level Committee to mark the 150th birth anniversary of Sri Aurobindo. Discussed ways to further popularise his thoughts among the youth. Other esteemed members also shared their valuable inputs. 

https://t.co/iDhWclmOsR",narendramodi,2021-12-24 16:22:07+00:00,15093,3243,438
63,"Reviewed the COVID-19 situation across India, particularly in the wake of Omicron. Our focus is on further ramping up health infra, testing, tracing and ensuring full vaccination coverage. https://t.co/mbx44TLKcU",narendramodi,2021-12-23 16:26:14+00:00,25382,4896,1265
64,"हम यूपी की विरासत को भी बढ़ा रहे हैं, यूपी का विकास भी कर रहे हैं। https://t.co/BnJ7WX4ZqR",narendramodi,2021-12-23 15:27:17+00:00,22790,5255,1277
65,"आज किसान दिवस पर पूर्वांचल के साथ ही यूपी और देशभर के किसानों से मेरा आग्रह है कि आप ज्यादा से ज्यादा प्राकृतिक खेती को अपनाएं। ये खेती का सबसे सस्ता और सुरक्षित तरीका तो है ही, हमारे कृषि सेक्टर को आत्मनिर्भर बनाने की दिशा में भी एक बड़ा कदम है। https://t.co/oClozjWRzd",narendramodi,2021-12-23 15:26:37+00:00,12058,3240,417
66,अब हर किसी के लिए सुरक्षित और प्रामाणिक दूध की पहचान करना आसान होगा। भारतीय मानक ब्यूरो ने इसके लिए देशभर में एकीकृत व्यवस्था की है और सर्टिफिकेशन के लिए logo भी जारी किया है। https://t.co/uOk2eYLNv3,narendramodi,2021-12-23 15:26:22+00:00,12451,3230,321
67,"मेरा अटूट विश्वास है कि देश का डेयरी सेक्टर, पशुपालन और श्वेत क्रांति की नई ऊर्जा किसानों की स्थिति को बदलने में बहुत बड़ी भूमिका निभा सकती है।

इस विश्वास के कई कारण भी हैं… https://t.co/JDYvx6LZgh",narendramodi,2021-12-23 15:25:58+00:00,10921,3002,278
68,भारत के डेयरी सेक्टर को मजबूत करना हमारी सरकार की सर्वोच्च प्राथमिकताओं में से एक है। इसी कड़ी में आज बनास काशी संकुल का शिलान्यास किया गया है। https://t.co/7EYVUA6QPx,narendramodi,2021-12-23 15:25:41+00:00,12407,3248,353
69,काशी में लोगों के साथ एक यादगार संवाद का अवसर प्राप्त हुआ... https://t.co/MItVpVNGNM,narendramodi,2021-12-23 12:51:48+00:00,39983,8336,1524
70,Delighted to be in Varanasi once again. Addressing a public meeting.  #यूपी_में_श्वेत_क्रांति https://t.co/SkUfpAUZUg,narendramodi,2021-12-23 08:53:16+00:00,22155,5869,1228
71,"Yesterday, took part in the National Committee on ‘Azadi ka Amrit Mahotsav.’ Had insightful deliberations on how to mark this important milestone in our nation’s journey and pay tributes to our great freedom fighters. https://t.co/kcsMvimLbd",narendramodi,2021-12-23 03:14:23+00:00,19167,3815,564
72,"मेरे संसदीय क्षेत्र के साथ पूरे उत्तर प्रदेश के लिए कल का दिन विकास कार्यों को समर्पित रहेगा। वाराणसी में दोपहर करीब 1 बजे कई परियोजनाओं के उद्घाटन और शिलान्यास का सौभाग्य प्राप्त होगा। इनसे राज्य की अर्थव्यवस्था के साथ ही किसान भाई-बहनों को भी लाभ होगा। 
https://t.co/kcsMviEmzN",narendramodi,2021-12-22 15:36:27+00:00,28263,5390,1239
73,"I look forward to being at @IITKanpur on the 28th of this month to address the convocation ceremony. This is a vibrant institution, which has made pioneering contributions towards science and innovation. 

I invite everyone to share suggestions. https://t.co/obpVCb0NGb",narendramodi,2021-12-22 03:25:08+00:00,17448,4218,1122
74,"Priceless moments from Prayagraj.

Interacted with our Nari Shakti and the future of our nation- adorable youngsters.

https://t.co/oDkDqwAlI4",narendramodi,2021-12-21 14:27:02+00:00,18756,3955,567
